TXNID,UserID,FSA,Order Time,Market,Type,Side,Size,Price,Subtotal,Fees,Status
14,192,V0A,2021-02-24 00:06:00.316597Z,USDT-CAD,limit,buy,375.00000000 / 375.00000000,1.26026,478.2183705,0.70889039,filled
15,149,L9V,2021-02-23 23:13:59.210508Z,TRX-CAD,limit,sell,3000.00000000 / 3000.00000000,0.06,177.82884,0.26995624,filled
16,149,L9V,2021-02-23 23:09:44.517402Z,TRX-CAD,limit,buy,1500.00000000 / 1500.00000000,0.06,86.0636205,0.12757701,filled
17,245,v3b,2021-02-23 23:00:52.556533Z,BTC-CAD,limit,buy,0.20000000 / 0.20000000,60000,11999.99989,0,filled
18,245,v3b,2021-02-23 23:00:10.404608Z,BTC-CAD,limit,sell,0.20000000 / 0.20000000,61400,12279.99998,0,filled
19,218,L9A,2021-02-23 22:45:00.576810Z,TRX-CAD,limit,buy,10000.00000000 / 10000.00000000,0.05608,567.38097,0.8410612,filled
20,18,V2Z,2021-02-23 22:13:30.112460Z,HBAR-CAD,limit,buy,20000.00000000 / 20000.00000000,0.14599142,2953.462169,4.37808559,filled
21,83,K1R,2021-02-23 22:13:28.908203Z,HBAR-CAD,limit,buy,2122.84300000 / 2122.84300000,0.14560204,312.7690212,0.46363537,filled
22,140,V6K,2021-02-23 21:54:03.754452Z,ADA-CAD,limit,buy,100.00000000 / 100.00000000,1.1525,116.6210838,0.17287409,filled
23,245,v3b,2021-02-23 21:50:48.865605Z,BTC-CAD,limit,sell,0.30000000 / 0.30000000,60600,18179.99978,0,filled
24,45,H7W,2021-02-23 21:23:11.381420Z,DGB-CAD,limit,sell,4849.84531535 / 4849.84531535,0.06737,322.829386,0.49007225,filled
25,44,M5V,2021-02-23 21:13:11.288814Z,HBAR-CAD,market,buy,2000.00000000 / 2000.00000000,0.14095474,286.6563929,0.42493109,filled
26,205,T9E,2021-02-23 20:42:40.906888Z,TRX-CAD,limit,buy,1850.00000000 / 1850.00000000,0.05436,101.6713343,0.15071462,filled
27,171,L1T,2021-02-23 20:41:23.874337Z,ZIL-BTC,market,buy,655.00000000 / 655.00000000,0.00000207,0.00135585,0.00000203,filled
28,171,L1T,2021-02-23 20:37:50.607602Z,IOST-BTC,market,buy,2400.00000000 / 2400.00000000,0.00000103,0.002472,0.0000037,filled
29,171,L1T,2021-02-23 20:36:08.880372Z,BTC-CAD,market,buy,0.00384000 / 0.00384000,59659.49,231.8168726,0.34363858,filled
30,134,m1w,2021-02-23 19:49:44.678333Z,XLM-BTC,market,sell,2284.00000000 / 2284.00000000,0.00000785,0.0179294,0.00002689,filled
31,70,V3C,2021-02-23 19:48:23.691437Z,BTC-CAD,market,buy,0.00050000 / 0.00050000,57584.158,29.13580396,0.04319006,filled
32,134,m1w,2021-02-23 19:46:41.248777Z,LINK-BTC,market,sell,55.00000000 / 55.00000000,0.00051929,0.0285612,0.00004284,filled
33,134,m1w,2021-02-23 19:45:29.412790Z,ALGO-BTC,market,sell,2800.00000000 / 2800.00000000,0.00001993,0.05583147,0.00008374,filled
34,237,V3N,2021-02-23 19:28:50.482981Z,ADA-CAD,market,buy,95.00000000 / 95.00000000,1.15155,110.7459549,0.16416658,filled
35,237,V3N,2021-02-23 19:27:52.870438Z,HBAR-CAD,market,buy,1000.00000000 / 1000.00000000,0.13839167,140.0374228,0.2075874,filled
36,77,N7L,2021-02-23 19:19:54.163675Z,HBAR-CAD,market,buy,10000.00000000 / 10000.00000000,0.1385087,1401.559145,2.07763051,filled
37,59,V3L,2021-02-23 19:13:31.702119Z,HBAR-CAD,market,buy,1200.00000000 / 1200.00000000,0.13933825,169.1944044,0.25080886,filled
38,69,T3j,2021-02-23 18:49:28.051238Z,HBAR-CAD,market,buy,10480.00000000 / 10480.00000000,0.14209341,1508.755594,2.23653541,filled
39,69,T3j,2021-02-23 18:49:17.321232Z,HBAR-CAD,market,buy,10480.00000000 / 10480.00000000,0.14177935,1503.518111,2.22877151,filled
40,115,L0C,2021-02-23 18:37:30.781977Z,BTC-CAD,limit,buy,0.00660215 / 0.00660215,59785.623,399.4077766,0.59207047,filled
41,195,H3M,2021-02-23 18:15:34.862847Z,HBAR-CAD,market,buy,1000.00000000 / 1000.00000000,0.13987929,141.5428059,0.20981893,filled
42,196,L6j,2021-02-23 17:55:56.191425Z,HBAR-CAD,limit,buy,3488.98804172 / 3488.98804172,0.14,494.2673088,0.73268747,filled
43,196,L6j,2021-02-23 17:53:17.267987Z,HBAR-CAD,limit,buy,35.24230345 / 35.24230345,14,4.99473245,0.00740404,filled
44,17,V8W,2021-02-23 17:24:04.494104Z,HBAR-CAD,market,buy,100.00000000 / 100.00000000,0.14122738,14.29069281,0.0211841,filled
45,17,V8W,2021-02-23 17:22:59.498789Z,HBAR-CAD,market,buy,2700.00000000 / 2700.00000000,0.14117922,385.6210969,0.57163349,filled
46,68,V8A,2021-02-23 17:20:50.564729Z,HBAR-CAD,limit,buy,10000.00000000 / 10000.00000000,0.1399118,1415.756962,2.09867693,filled
47,211,L5N,2021-02-23 17:18:55.495940Z,HBAR-CAD,limit,buy,2100.00000000 / 2100.00000000,0.142,299.2479475,0.44359645,filled
48,142,J7N,2021-02-23 17:02:21.260576Z,HBAR-CAD,limit,buy,95.61000317 / 95.61000317,0.1415,13.66602864,0.02025812,filled
49,142,J7N,2021-02-23 17:01:07.523653Z,ADA-CAD,limit,buy,36.85087332 / 36.85087332,1.205,44.92711252,0.06659864,filled
50,142,J7N,2021-02-23 16:52:55.462528Z,BTC-CAD,limit,buy,0.00850534 / 0.00850534,59750,513.5715727,0.76130356,filled
51,115,L0C,2021-02-23 16:48:29.063698Z,CRO-BTC,limit,buy,2000.00000000 / 2000.00000000,0.00000315,0.0063,0.00000943,filled
52,142,J7N,2021-02-23 16:36:41.735308Z,BTC-CAD,limit,buy,0.00487301 / 0.00487301,60750,298.7903939,0.44291818,filled
53,142,J7N,2021-02-23 16:31:07.317983Z,HBAR-CAD,limit,buy,2000.00000004 / 2000.00000004,0.1425,288.389353,0.42749998,filled
54,142,J7N,2021-02-23 16:28:18.174181Z,LINK-CAD,limit,buy,10.00000000 / 10.00000000,33.45,338.449228,0.50170729,filled
55,19,L5J,2021-02-23 16:21:23.870886Z,HBAR-CAD,limit,buy,2000.00000000 / 2000.00000000,0.135,273.2109553,0.40499997,filled
56,234,L7E,2021-02-23 16:13:51.109754Z,HBAR-CAD,market,buy,700.00000000 / 700.00000000,0.14106832,99.92218174,0.14812173,filled
57,69,T3j,2021-02-23 15:54:04.831725Z,BTC-CAD,market,sell,0.00197421 / 0.00197421,61421.387,119.6609929,0.18165178,filled
58,69,T3j,2021-02-23 15:53:21.261034Z,DOGE-BTC,market,sell,1500.00000000 / 1500.00000000,0.00000095,0.001425,0.00000213,filled
59,205,T9E,2021-02-23 14:44:08.130526Z,TRX-CAD,limit,buy,5400.00000000 / 5400.00000000,0.05519,301.525875,0.44697318,filled
60,135,N6K,2021-02-23 14:24:01.221863Z,ADA-CAD,market,buy,1600.00000000 / 1600.00000000,1.22831,1986.290374,2.94441908,filled
61,79,L3S,2021-02-23 14:22:32.900381Z,HBAR-CAD,market,buy,2000.00000000 / 2000.00000000,0.1450464,293.5426951,0.43513915,filled
62,26,M5V,2021-02-23 12:37:00.159481Z,HBAR-CAD,market,sell,5000.00000000 / 5000.00000000,0.12996348,642.0894353,0.97472607,filled
63,110,V3G,2021-02-23 11:35:06.029642Z,HBAR-CAD,limit,buy,40.00000000 / 40.00000000,0.131,5.30231636,0.00785999,filled
64,110,V3G,2021-02-23 11:33:29.202380Z,HBAR-CAD,limit,buy,2600.00000000 / 2600.00000000,0.131,344.6505638,0.51089997,filled
65,208,N6G,2021-02-23 11:29:23.662490Z,HBAR-CAD,market,buy,14500.00000000 / 14500.00000000,0.13391995,1955.409806,2.89864262,filled
66,90,M3H,2021-02-23 11:21:20.656114Z,HBAR-CAD,limit,buy,150000.00000001 / 150000.00000001,0.12925,19618.0641,29.08124752,filled
67,196,L6j,2021-02-23 10:29:15.735571Z,HBAR-CAD,limit,buy,14096.92138068 / 14096.92138068,0.14,1997.039632,2.96035342,filled
68,110,V3G,2021-02-23 10:22:05.476742Z,HBAR-CAD,limit,buy,100.00000000 / 100.00000000,0.141,14.26768367,0.02114999,filled
69,110,V3G,2021-02-23 10:20:19.879115Z,HBAR-CAD,limit,buy,2100.00000000 / 2100.00000000,0.1415,300.6838539,0.44572499,filled
70,110,V3G,2021-02-23 10:13:09.007300Z,HBAR-CAD,limit,buy,3300.00000000 / 3300.00000000,0.145,484.1905372,0.71774996,filled
71,92,N5Y,2021-02-23 10:06:03.917378Z,HBAR-CAD,market,buy,350.00000000 / 350.00000000,0.14098112,49.93020568,0.07401508,filled
72,92,N5Y,2021-02-23 10:05:16.989584Z,HBAR-CAD,market,buy,13500.00000000 / 13500.00000000,0.14234421,1944.50005,2.88247031,filled
73,18,V2Z,2021-02-23 09:26:06.626162Z,HBAR-CAD,market,buy,1150.00000000 / 1150.00000000,0.1320785,153.6966203,0.22783539,filled
74,18,V2Z,2021-02-23 09:21:21.463863Z,HBAR-CAD,limit,buy,25000.00000001 / 25000.00000001,0.133,3364.542495,4.98749993,filled
75,165,M6S,2021-02-23 09:01:51.871785Z,DGB-CAD,limit,sell,40000.00000000 / 40000.00000000,0.065,2568.87356,3.89968733,filled
76,70,V3C,2021-02-23 08:48:48.361614Z,BTC-CAD,market,buy,0.00700000 / 0.00700000,60611.83,428.9195298,0.63581783,filled
77,115,L0C,2021-02-23 05:58:39.793883Z,BTC-CAD,limit,buy,0.00459252 / 0.00459252,63385.988,294.5633341,0.43665211,filled
78,115,L0C,2021-02-23 05:51:06.485227Z,LINK-CAD,market,buy,5.00000000 / 5.00000000,35.10454395,177.6101223,0.26328407,filled
79,115,L0C,2021-02-23 05:49:14.738750Z,ETH-CAD,market,buy,0.12500000 / 0.12500000,2053.928,259.8106477,0.38513574,filled
80,18,V2Z,2021-02-23 05:48:30.490301Z,HBAR-CAD,limit,buy,8000.00000000 / 8000.00000000,0.1530146,1238.674574,1.83617515,filled
81,70,V3C,2021-02-23 05:45:05.481534Z,BTC-CAD,market,buy,0.00100000 / 0.00100000,63075.467,63.82556776,0.09461316,filled
82,70,V3C,2021-02-23 05:44:36.223273Z,BTC-CAD,market,buy,0.00750000 / 0.00750000,63118.226,479.0165447,0.71008019,filled
83,245,v3b,2021-02-23 05:31:15.473084Z,BTC-CAD,limit,buy,0.30000000 / 0.30000000,59000,17699.99973,0,filled
84,245,v3b,2021-02-23 05:23:07.103000Z,BTC-CAD,limit,buy,0.20000000 / 0.20000000,60000,11999.99988,0,filled
85,69,T3j,2021-02-23 05:21:19.709062Z,HBAR-CAD,limit,buy,22771.94992264 / 22771.94992264,0.13,2995.559385,4.4405301,filled
86,90,M3H,2021-02-23 05:11:53.393007Z,HBAR-CAD,limit,buy,199999.99999999 / 199999.99999999,0.126,25499.69035,37.79999914,filled
87,90,M3H,2021-02-23 05:10:55.341743Z,HBAR-CAD,market,sell,255000.00000000 / 255000.00000000,0.151781,37243.41577,56.53749535,filled
88,245,v3b,2021-02-23 04:15:07.724273Z,BTC-CAD,limit,buy,0.20000000 / 0.20000000,64000,12799.99983,0,filled
89,61,T6W,2021-02-23 03:47:56.161164Z,HBAR-CAD,limit,buy,18800.00000000 / 18800.00000000,0.15877819,3020.529282,4.47754475,filled
90,190,L5A,2021-02-23 03:34:09.448089Z,HBAR-CAD,market,buy,1500.00000000 / 1500.00000000,0.1569838,238.2761036,0.35321356,filled
91,190,L5A,2021-02-23 03:32:14.492137Z,HBAR-CAD,market,buy,500.00000000 / 500.00000000,0.15814791,80.01434202,0.11861093,filled
92,245,v3b,2021-02-23 03:31:55.618493Z,BTC-CAD,limit,buy,0.20000000 / 0.20000000,65300,13025.49489,0,filled
93,70,V3C,2021-02-23 03:03:10.195147Z,BTC-CAD,market,buy,0.01350000 / 0.01350000,65272.126,891.6530199,1.3217605,filled
94,70,V3C,2021-02-23 03:02:31.145094Z,BTC-CAD,market,sell,0.01400000 / 0.01400000,65233.352,902.1400226,1.36949676,filled
95,96,L6J,2021-02-23 03:01:54.431125Z,HBAR-CAD,limit,buy,15871.00000000 / 15871.00000000,0.1561,2506.926132,3.71619438,filled
96,163,V6B,2021-02-23 02:33:19.681172Z,HBAR-CAD,market,buy,878.00000000 / 878.00000000,0.16191812,143.8548004,0.21324617,filled
97,163,V6B,2021-02-23 02:31:58.989818Z,ADA-CAD,market,buy,108.00000000 / 108.00000000,1.33318,145.6959244,0.2159754,filled
98,163,V6B,2021-02-23 02:29:56.024871Z,LTC-CAD,market,buy,2.00000000 / 2.00000000,251.53,509.0420446,0.75458912,filled
99,115,L0C,2021-02-23 02:17:01.314466Z,ADA-CAD,market,buy,200.00000000 / 200.00000000,1.35413,273.817402,0.40589895,filled
100,246,V6W,2021-02-23 02:03:01.160739Z,HBAR-CAD,limit,buy,3090.00000000 / 3090.00000000,0.16,500.2796218,0.74159996,filled
101,236,L0s,2021-02-23 01:51:29.496639Z,HBAR-CAD,limit,buy,130.00000000 / 130.00000000,0.1628,21.41569129,0.03174599,filled
102,236,L0s,2021-02-23 01:50:32.420684Z,BTC-CAD,market,sell,0.00031794 / 0.00031794,66440.048,20.87273296,0.03168592,filled
103,16,N6k,2021-02-23 01:33:59.114690Z,HBAR-CAD,market,buy,6000.00000000 / 6000.00000000,0.1637217,994.0126117,1.47349538,filled
104,215,V3K,2021-02-23 00:05:27.505822Z,LTC-CAD,limit,buy,3.83000000 / 3.83000000,258,999.887242,1.48220376,filled
105,144,V3B,2021-02-22 23:45:32.267795Z,BTC-CAD,ceiling,buy,0.00144907 / 0,0,99.84979479,0.14801443,filled
106,144,V3B,2021-02-22 23:30:35.422046Z,BTC-CAD,ceiling,buy,0.00147392 / 0,0,100.9369823,0.14962604,filled
107,133,M3C,2021-02-22 23:19:09.856531Z,XEM-BTC,limit,buy,14593.49437382 / 14593.49437382,0.000013,0.18971542,0.00028457,filled
108,133,M3C,2021-02-22 23:14:11.099641Z,XEM-BTC,limit,buy,22693.23287796 / 22693.23287796,0.0000132,0.29955066,0.00044928,filled
109,134,m1w,2021-02-22 22:48:23.871423Z,ADA-BTC,limit,sell,2900.00000000 / 2900.00000000,0.00002057,0.059653,0.00008947,filled
110,74,V5K,2021-02-22 22:37:10.323063Z,BTC-CAD,limit,buy,0.02900000 / 0.02900000,68500,2010.124427,2.97974998,filled
111,70,V3C,2021-02-22 22:23:54.637629Z,BTC-CAD,market,buy,0.00800000 / 0.00800000,68734.218,556.4131137,0.82481061,filled
112,83,K1R,2021-02-22 21:54:03.806302Z,ALGO-CAD,limit,buy,198.48100000 / 198.48100000,1.48041,297.3257434,0.44074703,filled
113,149,L9V,2021-02-22 21:37:43.393793Z,ADA-CAD,limit,sell,180.00000000 / 180.00000000,1.35,247.4695654,0.37567202,filled
114,149,L9V,2021-02-22 21:30:58.480070Z,BTC-CAD,limit,sell,0.00500000 / 0.00500000,68600,339.1560552,0.51485701,filled
115,118,T5T,2021-02-22 21:16:35.481931Z,HBAR-CAD,market,buy,20.00000000 / 20.00000000,0.17506857,3.54300788,0.00525205,filled
116,118,T5T,2021-02-22 21:13:41.101533Z,ADA-CAD,market,buy,143.00000000 / 143.00000000,1.35936,196.663602,0.29152867,filled
117,204,S4H,2021-02-22 21:08:34.698824Z,RVN-USDT,limit,buy,380.00000000 / 380.00000000,0.2,75.8536316,0.11378044,filled
118,194,J1X,2021-02-22 20:48:08.850427Z,VET-BTC,market,buy,3500.00000000 / 3500.00000000,0.00000093,0.003255,0.00000488,filled
119,194,J1X,2021-02-22 20:44:11.724281Z,BTC-CAD,market,buy,0.00350000 / 0.00350000,68303.379,241.873868,0.35854712,filled
120,207,L6J,2021-02-22 20:28:45.588529Z,HBAR-CAD,market,buy,1200.00000000 / 1200.00000000,0.17642999,214.2336156,0.31757397,filled
121,71,V4W,2021-02-22 19:27:32.540152Z,ETH-CAD,limit,buy,0.90689020 / 0.90689020,2176.196,1997.038751,2.96035491,filled
122,71,V4W,2021-02-22 19:26:33.649070Z,BTC-CAD,limit,buy,0.01465964 / 0.01465964,67313.059,998.5196054,1.48017779,filled
123,165,M6S,2021-02-22 19:10:59.443930Z,DGB-CAD,limit,buy,10000.00000000 / 10000.00000000,0.082,829.6620313,1.22986796,filled
124,200,V5G,2021-02-22 17:26:25.360307Z,ADA-CAD,limit,buy,100.00000000 / 100.00000000,1.27,128.5092284,0.19049852,filled
125,200,V5G,2021-02-22 17:06:20.019924Z,HBAR-CAD,limit,buy,6000.00000000 / 6000.00000000,0.17,1032.129307,1.52999989,filled
126,26,M5V,2021-02-22 17:02:14.294140Z,HBAR-CAD,market,buy,5000.00000000 / 5000.00000000,0.17760134,898.5665178,1.33201011,filled
127,28,T3C,2021-02-22 17:02:01.646642Z,BTC-CAD,limit,buy,0.05800000 / 0.05800000,63000,3697.455101,5.48099989,filled
128,28,T3C,2021-02-22 17:01:23.408876Z,BTC-CAD,limit,buy,0.05500000 / 0.05500000,61500,3422.726306,5.07374992,filled
129,117,N2A,2021-02-22 16:38:45.231386Z,HBAR-CAD,market,buy,2743.00000000 / 2743.00000000,0.18014541,500.0147767,0.74120805,filled
130,43,V6B,2021-02-22 16:22:43.649739Z,ETH-CAD,limit,buy,0.02219890 / 0.02219890,2222.6,49.88917563,0.07395433,filled
131,43,V6B,2021-02-22 16:21:35.890351Z,LINK-CAD,limit,buy,6.31098372 / 6.31098372,39.09,249.6299554,0.37004453,filled
132,117,N2A,2021-02-22 16:16:20.812803Z,HBAR-CAD,market,buy,2800.00000000 / 2800.00000000,0.17608538,498.9020772,0.73955861,filled
133,138,H7L,2021-02-22 16:04:33.380985Z,XEM-ETH,market,buy,2799.00000000 / 2799.00000000,0.00030694,0.85912506,0.00128868,filled
134,138,H7L,2021-02-22 16:02:28.671999Z,ETC-ETH,market,sell,111.00000000 / 111.00000000,0.00777117,0.86259995,0.00129389,filled
135,171,L1T,2021-02-22 16:01:57.683754Z,RVN-USDT,market,buy,850.00000000 / 850.00000000,0.18156454,154.329859,0.23149478,filled
136,171,L1T,2021-02-22 16:00:15.451774Z,USDT-CAD,market,buy,156.00000000 / 156.00000000,1.26364,199.4708396,0.29569004,filled
137,138,H7L,2021-02-22 15:58:14.327675Z,ETC-CAD,market,buy,111.00000000 / 111.00000000,17.96884,2018.263074,2.99181726,filled
138,183,V9W,2021-02-22 15:58:00.091119Z,ETH-CAD,limit,buy,0.45896996 / 0.45896996,2150,998.5196061,1.4801778,filled
139,138,H7L,2021-02-22 15:57:23.514161Z,BTC-CAD,market,buy,0.02500000 / 0.02500000,67459.202,1706.424617,2.52955657,filled
140,185,T3Z,2021-02-22 15:56:39.331765Z,LTC-CAD,market,buy,2.00000000 / 2.00000000,251.753,509.4954824,0.75526198,filled
141,185,T3Z,2021-02-22 15:52:30.461575Z,BTC-CAD,market,buy,0.02000000 / 0.02000000,67499.529,1366.795337,2.02609954,filled
142,185,T3Z,2021-02-22 15:50:56.582857Z,ETH-CAD,market,buy,0.50000000 / 0.50000000,2204.297,1115.253502,1.65322089,filled
143,185,T3Z,2021-02-22 15:48:43.176210Z,HBAR-CAD,market,buy,12000.00000000 / 12000.00000000,0.17258812,2095.685625,3.10658631,filled
144,204,S4H,2021-02-22 15:45:37.891854Z,USDT-CAD,limit,buy,78.00000000 / 78.00000000,1.261,99.52734105,0.14753657,filled
145,20,T2T,2021-02-22 15:44:17.744130Z,BTC-CAD,market,buy,0.00330000 / 0.00330000,67800.086,226.4014458,0.33561123,filled
146,43,V6B,2021-02-22 15:35:53.490864Z,BTC-USDT,market,buy,0.00035921 / 0.00035921,53012.11461,19.04650778,0.02856976,filled
147,134,m1w,2021-02-22 15:06:21.649636Z,ALGO-CAD,market,buy,800.00000000 / 800.00000000,1.45817,1181.43584,1.75132776,filled
148,230,T1C,2021-02-22 15:02:40.766662Z,BTC-CAD,market,buy,0.04400000 / 0.04400000,68352.021,3030.851166,0,filled
149,123,L5M,2021-02-22 14:58:54.295516Z,HBAR-CAD,market,buy,5600.00000000 / 5600.00000000,0.16820018,953.1217914,1.41288133,filled
150,123,L5M,2021-02-22 14:57:21.324519Z,BTC-CAD,market,sell,0.01418871 / 0.01418871,67465.498,947.370026,1.43815695,filled
151,19,L5J,2021-02-22 14:47:51.567378Z,HBAR-CAD,limit,buy,2000.00000000 / 2000.00000000,0.157,317.7342213,0.47099996,filled
152,79,L3S,2021-02-22 14:45:29.497728Z,HBAR-CAD,market,buy,2000.00000000 / 2000.00000000,0.16239247,328.5505167,0.48703418,filled
153,124,L5j,2021-02-22 14:44:49.278350Z,HBAR-CAD,limit,buy,2000.00000001 / 2000.00000001,0.157,317.7342213,0.47099996,filled
154,175,T8W,2021-02-22 14:41:39.097299Z,BTC-CAD,limit,sell,0.91000000 / 0.91000000,65250,58887.99582,89.39503923,filled
155,208,N6G,2021-02-22 14:04:05.802375Z,HBAR-CAD,market,buy,12350.00000000 / 12350.00000000,0.16042152,2005.908731,2.97350353,filled
156,213,M3N,2021-02-22 13:58:24.200437Z,HBAR-CAD,market,buy,530.00000000 / 530.00000000,0.16398129,86.23415352,0.12783112,filled
157,213,M3N,2021-02-22 13:57:12.716911Z,ADA-CAD,market,buy,90.00000000 / 90.00000000,1.21923,111.0356953,0.16459623,filled
158,214,J3L,2021-02-22 13:46:25.894853Z,ADA-CAD,limit,buy,485.00000000 / 485.00000000,1.02,500.5794455,0.7420451,filled
159,214,J3L,2021-02-22 13:45:48.438076Z,ADA-CAD,limit,buy,400.00000000 / 400.00000000,1.2,485.7059392,0.71999702,filled
160,134,m1w,2021-02-22 13:41:44.339209Z,ADA-CAD,market,buy,800.00000000 / 800.00000000,1.23841,1002.750051,1.48644889,filled
161,214,J3L,2021-02-22 13:39:02.876073Z,BTC-CAD,limit,buy,0.01550000 / 0.01550000,63530,996.4247834,1.47707249,filled
162,134,m1w,2021-02-22 13:38:36.888333Z,CRO-BTC,market,buy,2092.00000000 / 2092.00000000,0.00000451,0.00943492,0.00001415,filled
163,214,J3L,2021-02-22 13:37:56.006737Z,BTC-CAD,limit,buy,0.01500000 / 0.01500000,66522,1009.695729,1.49674497,filled
164,134,m1w,2021-02-22 13:27:42.979908Z,BTC-CAD,market,buy,0.01000000 / 0.01000000,66930.643,677.2655239,1.00395965,filled
165,26,M5V,2021-02-22 13:09:09.885373Z,HBAR-CAD,market,sell,3000.00000000 / 3000.00000000,0.16719772,495.6284547,0.75238976,filled
166,26,M5V,2021-02-22 13:08:21.681129Z,ETH-CAD,market,sell,0.18600000 / 0.18600000,2258.502,414.9467417,0.62991072,filled
167,27,T2Y,2021-02-22 13:00:21.961457Z,HBAR-CAD,market,buy,1000.00000000 / 1000.00000000,0.16660248,168.5834274,0.2499034,filled
168,134,m1w,2021-02-22 12:56:20.058803Z,ALGO-CAD,market,buy,1000.00000000 / 1000.00000000,1.43172,1451.062576,2.15101496,filled
169,134,m1w,2021-02-22 12:55:56.086469Z,ADA-CAD,market,buy,2000.00000000 / 2000.00000000,1.24131,2510.091656,3.72089033,filled
170,77,N7L,2021-02-22 12:51:02.865654Z,HBAR-CAD,market,buy,10000.00000000 / 10000.00000000,0.16364101,1655.869636,2.45461527,filled
171,196,L6j,2021-02-22 11:05:06.510940Z,HBAR-CAD,market,buy,84.00000000 / 84.00000000,0.17574446,14.83441913,0.02199013,filled
172,196,L6j,2021-02-22 11:03:35.094649Z,TRX-CAD,market,sell,200.00000000 / 200.00000000,0.07067,13.9671584,0.02120287,filled
173,196,L6j,2021-02-22 11:01:41.348693Z,HBAR-CAD,market,buy,30.00000000 / 30.00000000,0.17466506,5.31332516,0.00787632,filled
174,47,V5S,2021-02-22 07:56:20.236226Z,USDT-CAD,limit,sell,1190.50618600 / 1190.50618600,1.262,1484.544318,2.25361545,filled
175,196,L6j,2021-02-22 06:23:09.101616Z,HBAR-CAD,market,buy,14000.00000000 / 14000.00000000,0.17583914,2491.022061,3.69262209,filled
176,92,N5Y,2021-02-22 04:48:39.896682Z,HBAR-CAD,limit,buy,69.36980068 / 69.36980068,0.1707,11.98223711,0.01776213,filled
177,92,N5Y,2021-02-22 04:47:33.377755Z,HBAR-CAD,limit,buy,11561.63344693 / 11561.63344693,0.1707,1997.039519,2.96035605,filled
178,215,V3K,2021-02-22 04:26:49.863776Z,LTC-CAD,limit,buy,0.58000000 / 0.58000000,274.5,161.1029959,0.23881461,filled
179,215,V3K,2021-02-22 04:08:18.228762Z,LTC-CAD,limit,buy,1.00000000 / 1.00000000,275,278.2692404,0.41249861,filled
180,79,L3S,2021-02-22 04:02:45.937755Z,HBAR-CAD,market,buy,1300.00000000 / 1300.00000000,0.17355994,228.3109993,0.3384419,filled
181,215,V3K,2021-02-22 04:00:54.644637Z,LTC-CAD,limit,buy,1.00000000 / 1.00000000,275,278.2692404,0.41249861,filled
182,215,V3K,2021-02-22 03:58:46.571123Z,LTC-CAD,limit,buy,1.00000000 / 1.00000000,277,280.2936108,0.41549948,filled
183,5,T3N,2021-02-22 03:46:12.438609Z,HBAR-CAD,limit,buy,8300.00000000 / 8300.00000000,0.177,1485.006405,2.20133235,filled
184,145,L8W,2021-02-22 03:18:03.607508Z,USDT-CAD,market,sell,88.00000000 / 88.00000000,1.26204,109.7391384,0.16658971,filled
185,110,V3G,2021-02-22 03:03:49.040609Z,HBAR-CAD,limit,buy,3890.00000000 / 3890.00000000,0.178,700.6539018,1.03862993,filled
186,34,V2C,2021-02-22 02:46:28.586919Z,DGB-CAD,limit,buy,28905.83537996 / 28905.83537996,0.099,2884.516397,4.27592719,filled
187,230,T1C,2021-02-22 02:13:09.320976Z,BTC-CAD,limit,buy,0.03000000 / 0.03000000,70269,2124.782115,0,filled
